Expense Description,From,To,Est. Monthly,Est. Annual,Est. Total
Mastodon server - Contabo L,2022-01-01,2022-05-02,-19.99,,-80.63
Mastodon server - Contabo XL,2022-05-03,2022-12-31,-34.99,,-282.25
Media storage - wasabi.com,2022-01-01,2022-12-31,-10.00,,-121.33
CN2 GIA mirror - BWH,2022-01-01,2022-12-31,,-49.99,-49.99
Domain expenses,2022-01-01,2022-12-31,,-45.15,-45.15
Forwardemail.net,2022-01-01,2022-12-31,,-36.00,-36.00
"Writee, BlogKG - OVH",2022-01-01,2022-12-31,,-17.88,-17.88
"Pastebin, RSS, server monitor etc. 
 - Frantech, allocated",2022-01-01,2022-12-31,,-16.00,-16.00
Est. Total Expenses,,,,,-649.23
