Order Number,Order Date,Order Total Amount,Est. Gateway Fee,Net Amount
973,2022-01-17 01:54,5,0.45,4.56
1040,2022-02-06 04:47,30,1.17,28.83
1041,2022-02-06 06:50,15,0.74,14.27
1042,2022-02-06 13:55,5,0.45,4.56
1043,2022-02-08 01:16,5,0.45,4.56
1044,2022-02-08 04:08,20,0.88,19.12
1045,2022-02-08 13:50,10,0.59,9.41
1046,2022-02-08 14:37,5,0.45,4.56
1047,2022-02-10 17:02,5,0.45,4.56
1048,2022-02-14 12:34,10,0.59,9.41
1049,2022-02-16 05:12,5,0.45,4.56
1054,2022-02-19 14:56,5,0.45,4.56
1055,2022-02-20 15:53,15,0.74,14.27
1056,2022-02-20 16:42,20,0.88,19.12
1057,2022-02-20 18:23,15,0.74,14.27
1058,2022-02-27 16:41,15,0.74,14.27
1059,2022-03-01 08:41,10,0.59,9.41
1060,2022-03-03 08:16,5,0.45,4.56
1061,2022-03-10 07:54,5,0.45,4.56
1062,2022-03-17 02:25,15,0.74,14.27
1063,2022-03-23 04:41,5,0.45,4.56
1067,2022-03-31 10:38,5,0.45,4.56
1069,2022-04-09 13:30,5,0.45,4.56
1070,2022-04-09 16:24,5,0.45,4.56
1071,2022-04-10 09:13,5,0.45,4.56
1073,2022-04-13 11:08,5,0.45,4.56
1074,2022-04-14 00:59,20,0.88,19.12
1075,2022-04-18 03:19,5,0.45,4.56
1076,2022-04-21 17:31,5,0.45,4.56
1077,2022-04-22 22:24,15,0.74,14.27
1078,2022-04-24 06:06,5,0.45,4.56
1079,2022-04-25 13:18,5,0.45,4.56
1080,2022-04-28 07:00,5,0.45,4.56
1081,2022-04-28 07:10,10,0.59,9.41
1082,2022-04-28 07:14,5,0.45,4.56
1083,2022-04-28 07:29,5,0.45,4.56
1084,2022-04-28 07:48,15,0.74,14.27
1085,2022-04-28 07:59,5,0.45,4.56
1086,2022-04-28 10:08,5,0.45,4.56
1087,2022-04-28 10:17,5,0.45,4.56
1088,2022-04-28 11:28,10,0.59,9.41
1089,2022-04-28 11:34,5,0.45,4.56
1090,2022-04-28 11:36,10,0.59,9.41
1091,2022-04-28 11:58,5,0.45,4.56
1092,2022-04-28 12:01,5,0.45,4.56
1093,2022-04-28 12:36,5,0.45,4.56
1094,2022-04-28 13:13,5,0.45,4.56
1095,2022-04-28 13:36,10,0.59,9.41
1098,2022-04-28 15:20,15,0.74,14.27
1099,2022-04-28 15:30,5,0.45,4.56
1100,2022-04-28 15:35,10,0.59,9.41
1101,2022-04-28 16:21,5,0.45,4.56
1102,2022-04-29 01:42,5,0.45,4.56
1103,2022-04-29 01:44,5,0.45,4.56
1104,2022-04-29 02:51,5,0.45,4.56
1105,2022-04-29 02:55,25,1.03,23.98
1106,2022-04-29 03:07,15,0.74,14.27
1107,2022-04-29 03:07,30,1.17,28.83
1108,2022-04-29 03:15,25,1.03,23.98
1109,2022-04-29 03:32,5,0.45,4.56
1110,2022-04-29 04:02,10,0.59,9.41
1111,2022-04-29 04:07,5,0.45,4.56
1113,2022-04-29 04:49,25,1.03,23.98
1114,2022-04-29 04:49,10,0.59,9.41
1115,2022-04-29 05:04,5,0.45,4.56
1116,2022-04-29 05:15,5,0.45,4.56
1117,2022-04-29 05:33,5,0.45,4.56
1118,2022-04-29 05:38,5,0.45,4.56
1119,2022-04-29 06:01,5,0.45,4.56
1120,2022-04-29 06:17,5,0.45,4.56
1121,2022-04-29 06:26,5,0.45,4.56
1122,2022-04-29 08:05,25,1.03,23.98
1123,2022-04-29 09:40,5,0.45,4.56
1124,2022-04-29 09:41,5,0.45,4.56
1125,2022-04-29 10:40,10,0.59,9.41
1126,2022-04-29 12:46,5,0.45,4.56
1127,2022-04-29 14:43,5,0.45,4.56
1128,2022-04-29 16:52,50,1.75,48.25
1131,2022-04-30 01:05,5,0.45,4.56
1133,2022-04-30 01:47,5,0.45,4.56
1134,2022-04-30 01:48,5,0.45,4.56
1136,2022-04-30 06:25,5,0.45,4.56
1137,2022-04-30 07:57,5,0.45,4.56
1138,2022-04-30 08:10,5,0.45,4.56
1139,2022-04-30 13:04,5,0.45,4.56
1140,2022-05-01 02:10,5,0.45,4.56
1141,2022-05-01 02:59,5,0.45,4.56
1142,2022-05-01 05:41,5,0.45,4.56
1143,2022-05-01 07:24,5,0.45,4.56
1144,2022-05-01 17:09,10,0.59,9.41
1145,2022-05-01 17:39,30,1.17,28.83
1146,2022-05-02 01:18,5,0.45,4.56
1148,2022-05-02 02:35,5,0.45,4.56
1150,2022-05-02 02:59,15,0.74,14.27
1151,2022-05-02 03:12,5,0.45,4.56
1152,2022-05-02 03:27,5,0.45,4.56
1153,2022-05-02 09:04,10,0.59,9.41
1154,2022-05-03 00:30,5,0.45,4.56
1155,2022-05-03 07:56,5,0.45,4.56
